stage_id,job_type,role_level,stage_name,stage_order,expected_duration_days,grading_rubric_1_to_5
STG-0030,BE,Staff SWE,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0031,BE,Staff SWE,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0032,BE,Staff SWE,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0033,BE,Staff SWE,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0034,BE,Staff SWE,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0035,BE,Principal,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0036,BE,Principal,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0037,BE,Principal,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0038,BE,Principal,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0039,BE,Principal,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0040,BE,Principal,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0041,BE,Principal,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0042,BE,Principal,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0043,BE,Principal,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0044,BE,Eng Manager,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0045,BE,Eng Manager,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0046,BE,Eng Manager,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0047,BE,Eng Manager,Leadership case study,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0048,BE,Eng Manager,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0049,BE,Eng Manager,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0050,BE,Eng Manager,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0051,BE,Eng Manager,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0052,BE,Eng Manager,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0053,FE,SWE1,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0054,FE,SWE1,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0055,FE,SWE1,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0056,FE,SWE1,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0057,FE,SWE1,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0058,FE,SWE1,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0059,FE,SWE1,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0060,FE,SWE1,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0061,FE,SWE2,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0062,FE,SWE2,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0063,FE,SWE2,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0064,FE,SWE2,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0065,FE,SWE2,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0066,FE,SWE2,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0067,FE,SWE2,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0068,FE,SWE2,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0069,FE,SWE3,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0070,FE,SWE3,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0071,FE,SWE3,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0072,FE,SWE3,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0073,FE,SWE3,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0074,FE,SWE3,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0075,FE,SWE3,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0076,FE,SWE3,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0077,FE,SWE3,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0078,FE,Staff SWE,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0079,FE,Staff SWE,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0080,FE,Staff SWE,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0081,FE,Staff SWE,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0082,FE,Staff SWE,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0083,FE,Staff SWE,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0084,FE,Staff SWE,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0085,FE,Staff SWE,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0086,FE,Staff SWE,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0087,FE,Eng Manager,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0088,FE,Eng Manager,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0089,FE,Eng Manager,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0090,FE,Eng Manager,Leadership case study,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0091,FE,Eng Manager,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0092,FE,Eng Manager,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0093,FE,Eng Manager,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0094,FE,Eng Manager,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0095,FE,Eng Manager,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0096,DS,SWE1,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0097,DS,SWE1,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0098,DS,SWE1,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0099,DS,SWE1,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0100,DS,SWE1,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0101,DS,SWE1,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0102,DS,SWE1,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0103,DS,SWE1,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0104,DS,SWE2,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0105,DS,SWE2,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0106,DS,SWE2,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0107,DS,SWE2,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0108,DS,SWE2,HM - Org fit,5,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0109,DS,SWE2,Recruiter debrief,6,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0110,DS,SWE2,Offer stage,7,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0111,DS,SWE2,Hired or Not Hired,8,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0112,DS,SWE3,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0113,DS,SWE3,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0114,DS,SWE3,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0115,DS,SWE3,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0116,DS,SWE3,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0117,DS,SWE3,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0118,DS,SWE3,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0119,DS,SWE3,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0120,DS,SWE3,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0121,DS,Staff SWE,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0122,DS,Staff SWE,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0123,DS,Staff SWE,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0124,DS,Staff SWE,Coding interview,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0125,DS,Staff SWE,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0126,DS,Staff SWE,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0127,DS,Staff SWE,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0128,DS,Staff SWE,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0129,DS,Staff SWE,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
STG-0130,DS,Eng Manager,Resume screening,1,2,"1=Unqualified resume, 3=Meets bar, 5=Strong pedigree"
STG-0131,DS,Eng Manager,Recruiter screening,2,3,"1=Poor communication, 3=Clear and engaged, 5=Exceptional advocate"
STG-0132,DS,Eng Manager,Tech Screening,3,5,"1=Fundamental gaps, 3=Solid fundamentals, 5=Deep technical breadth"
STG-0133,DS,Eng Manager,Leadership case study,4,5,"1=Could not solve, 3=Working solution with hints, 5=Optimal clean code"
STG-0134,DS,Eng Manager,System design,5,7,"1=No scalable thinking, 3=Adequate design, 5=Production-grade architecture"
STG-0135,DS,Eng Manager,HM - Org fit,6,5,"1=Misaligned values, 3=Good collaborator, 5=Strong leadership potential"
STG-0136,DS,Eng Manager,Recruiter debrief,7,2,"1=Process concerns, 3=Standard pass, 5=Expedite offer"
STG-0137,DS,Eng Manager,Offer stage,8,10,"1=Declined immediately, 3=Negotiating, 5=Accepted"
STG-0138,DS,Eng Manager,Hired or Not Hired,9,1,"1=Not hired, 3=N/A, 5=Hired"
