feedback_id,application_id,stage_id,interviewer_id,date_of_interview,decision,decision_reason
FB-00092,APP-0042,STG-0079,IV-001,2026-08-18,No,Not good team fit
FB-00093,APP-0043,STG-0078,IV-001,2026-07-04,Yes,
FB-00094,APP-0043,STG-0079,IV-011,2026-07-04,No,Commute concerns
FB-00095,APP-0044,STG-0078,IV-008,2026-07-18,No,Insufficient years of experience
FB-00096,APP-0045,STG-0078,IV-008,2026-08-02,No,Salary expectations misaligned
FB-00097,APP-0046,STG-0078,IV-011,2026-07-22,Yes,
FB-00098,APP-0046,STG-0079,IV-008,2026-07-22,No,Salary expectations misaligned
FB-00099,APP-0047,STG-0078,IV-014,2026-08-01,Yes,
FB-00100,APP-0047,STG-0079,IV-010,2026-08-02,Yes,
FB-00101,APP-0047,STG-0080,IV-011,2026-08-06,Yes,
FB-00102,APP-0047,STG-0081,IV-001,2026-08-07,Yes,
FB-00103,APP-0047,STG-0082,IV-013,2026-08-12,Yes,
FB-00104,APP-0047,STG-0083,IV-011,2026-08-17,Yes,
FB-00105,APP-0047,STG-0084,IV-008,2026-08-17,Yes,
FB-00106,APP-0047,STG-0085,IV-014,2026-08-20,No,Declined - competing offer 18% higher base salary
FB-00107,APP-0048,STG-0078,IV-009,2026-07-10,Yes,
FB-00108,APP-0048,STG-0079,IV-001,2026-07-11,No,Salary expectations misaligned
FB-00109,APP-0049,STG-0078,IV-008,2026-08-19,No,Not good team fit
FB-00110,APP-0050,STG-0078,IV-011,2026-07-08,No,Insufficient years of experience
FB-00111,APP-0051,STG-0078,IV-009,2026-07-22,No,Missing required skill
FB-00112,APP-0052,STG-0078,IV-008,2026-07-22,Yes,
FB-00113,APP-0052,STG-0079,IV-009,2026-07-24,Yes,
FB-00114,APP-0052,STG-0080,IV-001,2026-07-28,No,Not good team fit
FB-00115,APP-0053,STG-0078,IV-001,2026-07-05,Yes,
FB-00116,APP-0053,STG-0079,IV-012,2026-07-05,No,Insufficient years of experience
FB-00117,APP-0054,STG-0001,IV-007,2026-07-17,Yes,
FB-00118,APP-0054,STG-0002,IV-001,2026-07-18,Yes,
FB-00119,APP-0054,STG-0003,IV-001,2026-07-21,No,Location mismatch
FB-00120,APP-0055,STG-0001,IV-001,2026-08-06,Yes,
FB-00121,APP-0055,STG-0002,IV-001,2026-08-09,Yes,
FB-00122,APP-0055,STG-0003,IV-007,2026-08-14,No,Salary expectations misaligned
FB-00123,APP-0056,STG-0001,IV-005,2026-08-01,Yes,
FB-00124,APP-0056,STG-0002,IV-001,2026-08-03,Yes,
FB-00125,APP-0056,STG-0003,IV-001,2026-08-05,No,Insufficient years of experience
FB-00126,APP-0057,STG-0001,IV-001,2026-07-15,Yes,
FB-00127,APP-0057,STG-0002,IV-009,2026-07-15,No,Too junior for role level
FB-00128,APP-0058,STG-0001,IV-003,2026-07-26,Yes,
FB-00129,APP-0058,STG-0002,IV-005,2026-07-28,No,Failed coding bar
FB-00130,APP-0059,STG-0001,IV-001,2026-07-28,Yes,
FB-00131,APP-0059,STG-0002,IV-005,2026-07-28,No,Commute concerns
FB-00132,APP-0060,STG-0001,IV-001,2026-07-21,No,Not good team fit
FB-00133,APP-0061,STG-0001,IV-001,2026-08-12,Yes,
FB-00134,APP-0061,STG-0002,IV-001,2026-08-12,Yes,
FB-00135,APP-0061,STG-0003,IV-007,2026-08-15,No,Could not demonstrate claimed backend expertise
FB-00136,APP-0062,STG-0001,IV-002,2026-08-18,No,Location mismatch
FB-00137,APP-0063,STG-0001,IV-001,2026-07-22,No,Missing required skill
FB-00138,APP-0064,STG-0001,IV-008,2026-08-17,Yes,
FB-00139,APP-0064,STG-0002,IV-001,2026-08-17,No,Not good team fit
FB-00140,APP-0065,STG-0001,IV-001,2026-08-20,Yes,
FB-00141,APP-0065,STG-0002,IV-001,2026-08-20,Yes,
FB-00142,APP-0065,STG-0003,IV-004,2026-08-23,Yes,
FB-00143,APP-0065,STG-0004,IV-009,2026-08-26,Yes,
FB-00144,APP-0065,STG-0005,IV-001,2026-08-31,No,Location mismatch
FB-00145,APP-0066,STG-0001,IV-001,2026-07-30,Yes,
FB-00146,APP-0066,STG-0002,IV-005,2026-07-30,No,Failed coding bar
FB-00147,APP-0067,STG-0001,IV-001,2026-07-11,Yes,
FB-00148,APP-0067,STG-0002,IV-001,2026-07-11,No,Location mismatch
FB-00149,APP-0068,STG-0001,IV-001,2026-07-28,No,Failed coding bar
FB-00150,APP-0069,STG-0001,IV-001,2026-07-13,No,Failed coding bar
FB-00151,APP-0070,STG-0001,IV-001,2026-07-15,Yes,
FB-00152,APP-0070,STG-0002,IV-003,2026-07-15,Yes,
FB-00153,APP-0070,STG-0003,IV-001,2026-07-20,No,Resume inflation - skills not validated in tech screen
FB-00154,APP-0071,STG-0001,IV-009,2026-07-12,Yes,
FB-00155,APP-0071,STG-0002,IV-001,2026-07-12,Yes,
FB-00156,APP-0071,STG-0003,IV-001,2026-07-13,Yes,
FB-00157,APP-0071,STG-0004,IV-006,2026-07-17,Yes,
FB-00158,APP-0071,STG-0005,IV-004,2026-07-17,No,Too junior for role level
FB-00159,APP-0072,STG-0053,IV-009,2026-08-11,Yes,
FB-00160,APP-0072,STG-0054,IV-009,2026-08-14,Yes,
FB-00161,APP-0072,STG-0055,IV-001,2026-08-19,Yes,
FB-00162,APP-0072,STG-0056,IV-001,2026-08-21,No,Salary expectations misaligned
FB-00163,APP-0073,STG-0053,IV-009,2026-08-09,Yes,
FB-00164,APP-0073,STG-0054,IV-012,2026-08-09,No,Salary expectations misaligned
FB-00165,APP-0074,STG-0053,IV-011,2026-08-09,Yes,
FB-00166,APP-0074,STG-0054,IV-001,2026-08-12,Yes,
FB-00167,APP-0074,STG-0055,IV-009,2026-08-12,No,Location mismatch
FB-00168,APP-0075,STG-0053,IV-008,2026-08-01,No,Failed coding bar
FB-00169,APP-0076,STG-0053,IV-001,2026-08-04,Yes,
FB-00170,APP-0076,STG-0054,IV-001,2026-08-05,Yes,
FB-00171,APP-0076,STG-0055,IV-001,2026-08-07,Yes,
FB-00172,APP-0076,STG-0056,IV-001,2026-08-12,No,Missing required skill
FB-00173,APP-0077,STG-0053,IV-001,2026-07-26,Yes,
FB-00174,APP-0077,STG-0054,IV-001,2026-07-28,Yes,
FB-00175,APP-0077,STG-0055,IV-013,2026-07-31,Yes,
FB-00176,APP-0077,STG-0056,IV-009,2026-08-03,Yes,
FB-00177,APP-0077,STG-0057,IV-008,2026-08-05,Yes,
FB-00178,APP-0077,STG-0058,IV-014,2026-08-07,Yes,
FB-00179,APP-0077,STG-0059,IV-001,2026-08-11,No,Declined - accepted FAANG competing offer
FB-00180,APP-0078,STG-0053,IV-001,2026-08-13,Yes,
FB-00181,APP-0078,STG-0054,IV-013,2026-08-15,Yes,
FB-00182,APP-0078,STG-0055,IV-001,2026-08-17,No,Salary expectations misaligned
FB-00183,APP-0079,STG-0053,IV-012,2026-07-20,Yes,
FB-00184,APP-0079,STG-0054,IV-010,2026-07-22,Yes,
FB-00185,APP-0079,STG-0055,IV-001,2026-07-24,No,Location mismatch
FB-00186,APP-0080,STG-0053,IV-001,2026-07-25,No,Salary expectations misaligned
FB-00187,APP-0081,STG-0104,IV-015,2026-07-26,Yes,
FB-00188,APP-0081,STG-0105,IV-015,2026-07-29,Yes,
FB-00189,APP-0081,STG-0106,IV-016,2026-08-03,No,Commute concerns
FB-00190,APP-0082,STG-0104,IV-001,2026-08-04,No,Too junior for role level
FB-00191,APP-0083,STG-0104,IV-001,2026-08-08,No,Salary expectations misaligned
FB-00192,APP-0084,STG-0104,IV-017,2026-08-07,Yes,
FB-00193,APP-0084,STG-0105,IV-018,2026-08-07,Yes,
FB-00194,APP-0084,STG-0106,IV-001,2026-08-09,Yes,
FB-00195,APP-0084,STG-0107,IV-001,2026-08-10,No,Failed coding bar
FB-00196,APP-0085,STG-0104,IV-016,2026-08-07,Yes,
FB-00197,APP-0085,STG-0105,IV-008,2026-08-07,Yes,
FB-00198,APP-0085,STG-0106,IV-016,2026-08-07,No,Salary expectations misaligned
FB-00199,APP-0086,STG-0104,IV-016,2026-07-20,Yes,
FB-00200,APP-0086,STG-0105,IV-015,2026-07-21,Yes,
FB-00201,APP-0086,STG-0106,IV-001,2026-07-23,Yes,
FB-00202,APP-0086,STG-0107,IV-009,2026-07-24,Yes,
FB-00203,APP-0086,STG-0108,IV-001,2026-07-28,Yes,
FB-00204,APP-0086,STG-0109,IV-009,2026-07-29,Yes,
FB-00205,APP-0086,STG-0110,IV-016,2026-07-31,Yes,
FB-00206,APP-0087,STG-0104,IV-017,2026-07-19,Yes,
FB-00207,APP-0087,STG-0105,IV-001,2026-07-19,Yes,
FB-00208,APP-0087,STG-0106,IV-008,2026-07-19,Yes,
FB-00209,APP-0087,STG-0107,IV-017,2026-07-24,No,Not good team fit
FB-00210,APP-0088,STG-0104,IV-001,2026-07-23,Yes,
FB-00211,APP-0088,STG-0105,IV-008,2026-07-24,No,Failed coding bar
FB-00212,APP-0089,STG-0104,IV-015,2026-07-31,Yes,
FB-00213,APP-0089,STG-0105,IV-008,2026-08-01,Yes,
FB-00214,APP-0089,STG-0106,IV-001,2026-08-04,No,Missing required skill
FB-00215,APP-0090,STG-0104,IV-001,2026-08-04,No,Missing required skill
FB-00216,APP-0091,STG-0104,IV-001,2026-07-26,No,Location mismatch
FB-00217,APP-0092,STG-0104,IV-001,2026-07-22,No,Location mismatch
FB-00218,APP-0093,STG-0104,IV-018,2026-08-11,Yes,
FB-00219,APP-0093,STG-0105,IV-001,2026-08-11,Yes,
FB-00220,APP-0093,STG-0106,IV-001,2026-08-15,No,Missing required skill
FB-00221,APP-0094,STG-0104,IV-001,2026-07-25,Yes,
FB-00222,APP-0094,STG-0105,IV-001,2026-07-27,Yes,
FB-00223,APP-0094,STG-0106,IV-016,2026-08-01,Yes,
FB-00224,APP-0094,STG-0107,IV-001,2026-08-06,Yes,
FB-00225,APP-0094,STG-0108,IV-001,2026-08-11,No,Missing required skill
FB-00226,APP-0095,STG-0104,IV-018,2026-07-28,No,Insufficient years of experience
FB-00227,APP-0096,STG-0104,IV-016,2026-08-02,Yes,
FB-00228,APP-0096,STG-0105,IV-001,2026-08-05,Yes,
FB-00229,APP-0096,STG-0106,IV-001,2026-08-08,No,Missing required skill
FB-00230,APP-0097,STG-0104,IV-017,2026-07-23,Yes,
FB-00231,APP-0097,STG-0105,IV-017,2026-07-25,Yes,
FB-00232,APP-0097,STG-0106,IV-018,2026-07-29,Yes,
FB-00233,APP-0097,STG-0107,IV-001,2026-08-03,No,Location mismatch
FB-00234,APP-0098,STG-0104,IV-001,2026-08-19,Yes,
FB-00235,APP-0098,STG-0105,IV-001,2026-08-22,Yes,
FB-00236,APP-0098,STG-0106,IV-016,2026-08-25,Yes,
FB-00237,APP-0098,STG-0107,IV-015,2026-08-28,No,Failed coding bar
FB-00238,APP-0099,STG-0035,IV-001,2026-08-16,Yes,
FB-00239,APP-0099,STG-0036,IV-007,2026-08-19,No,Too junior for role level
FB-00240,APP-0100,STG-0035,IV-004,2026-06-29,No,Salary expectations misaligned
FB-00241,APP-0101,STG-0035,IV-004,2026-07-15,Yes,
FB-00242,APP-0101,STG-0036,IV-005,2026-07-18,No,Commute concerns
FB-00243,APP-0102,STG-0035,IV-009,2026-07-10,Yes,
FB-00244,APP-0102,STG-0036,IV-005,2026-07-11,No,Failed coding bar
FB-00245,APP-0103,STG-0035,IV-006,2026-08-07,Yes,
FB-00246,APP-0103,STG-0036,IV-001,2026-08-07,Yes,
FB-00247,APP-0103,STG-0037,IV-001,2026-08-07,No,Location mismatch
FB-00248,APP-0104,STG-0035,IV-001,2026-06-22,Yes,
FB-00249,APP-0104,STG-0036,IV-001,2026-06-25,Yes,
FB-00250,APP-0104,STG-0037,IV-001,2026-06-30,No,Location mismatch
FB-00251,APP-0105,STG-0035,IV-001,2026-06-20,No,Missing required skill
FB-00252,APP-0106,STG-0035,IV-005,2026-07-15,Yes,
FB-00253,APP-0106,STG-0036,IV-007,2026-07-17,Yes,
FB-00254,APP-0106,STG-0037,IV-001,2026-07-18,Yes,
FB-00255,APP-0106,STG-0038,IV-006,2026-07-19,Yes,
FB-00256,APP-0106,STG-0039,IV-009,2026-07-21,No,Missing required skill
FB-00257,APP-0107,STG-0035,IV-001,2026-07-26,Yes,
FB-00258,APP-0107,STG-0036,IV-001,2026-07-28,Yes,
FB-00259,APP-0107,STG-0037,IV-007,2026-07-28,Yes,
FB-00260,APP-0107,STG-0038,IV-002,2026-07-29,No,Failed coding bar
FB-00261,APP-0108,STG-0035,IV-001,2026-06-14,Yes,
FB-00262,APP-0108,STG-0036,IV-001,2026-06-15,No,Salary expectations misaligned
FB-00263,APP-0109,STG-0035,IV-005,2026-07-19,Yes,
FB-00264,APP-0109,STG-0036,IV-008,2026-07-19,Yes,
FB-00265,APP-0109,STG-0037,IV-001,2026-07-23,Yes,
FB-00266,APP-0109,STG-0038,IV-007,2026-07-24,No,Salary expectations misaligned
FB-00267,APP-0110,STG-0035,IV-001,2026-06-24,Yes,
FB-00268,APP-0110,STG-0036,IV-001,2026-06-24,Yes,
FB-00269,APP-0110,STG-0037,IV-001,2026-06-28,Yes,
FB-00270,APP-0110,STG-0038,IV-001,2026-07-03,No,Missing required skill
FB-00271,APP-0111,STG-0035,IV-001,2026-06-23,Yes,
FB-00272,APP-0111,STG-0036,IV-003,2026-06-23,No,Failed coding bar
FB-00273,APP-0112,STG-0035,IV-001,2026-08-04,Yes,
FB-00274,APP-0112,STG-0036,IV-001,2026-08-06,No,Commute concerns
FB-00275,APP-0113,STG-0035,IV-001,2026-07-01,No,Not good team fit
FB-00276,APP-0114,STG-0069,IV-001,2026-08-17,Yes,
FB-00277,APP-0114,STG-0070,IV-001,2026-08-18,Yes,
FB-00278,APP-0114,STG-0071,IV-009,2026-08-18,No,Failed coding bar
FB-00279,APP-0115,STG-0069,IV-008,2026-08-03,Yes,
FB-00280,APP-0115,STG-0070,IV-001,2026-08-05,Yes,
FB-00281,APP-0115,STG-0071,IV-008,2026-08-09,No,Location mismatch
FB-00282,APP-0116,STG-0069,IV-012,2026-08-05,Yes,
FB-00283,APP-0116,STG-0070,IV-009,2026-08-07,Yes,
FB-00284,APP-0116,STG-0071,IV-009,2026-08-09,No,Location mismatch
FB-00285,APP-0117,STG-0069,IV-009,2026-08-03,Yes,
FB-00286,APP-0117,STG-0070,IV-010,2026-08-04,No,Missing required skill
FB-00287,APP-0118,STG-0069,IV-008,2026-08-07,No,Failed coding bar
FB-00288,APP-0119,STG-0069,IV-001,2026-08-17,Yes,
FB-00289,APP-0119,STG-0070,IV-009,2026-08-19,Yes,
FB-00290,APP-0119,STG-0071,IV-009,2026-08-24,Yes,
FB-00291,APP-0119,STG-0072,IV-001,2026-08-28,No,Too junior for role level
FB-00292,APP-0120,STG-0069,IV-001,2026-08-15,Yes,
FB-00293,APP-0120,STG-0070,IV-001,2026-08-17,Yes,
FB-00294,APP-0120,STG-0071,IV-011,2026-08-19,No,Commute concerns
FB-00295,APP-0121,STG-0069,IV-013,2026-08-15,No,Too junior for role level
FB-00296,APP-0122,STG-0069,IV-010,2026-08-10,Yes,
FB-00297,APP-0122,STG-0070,IV-001,2026-08-11,Yes,
FB-00298,APP-0122,STG-0071,IV-001,2026-08-14,No,Insufficient years of experience
FB-00299,APP-0123,STG-0069,IV-001,2026-08-02,Yes,
FB-00300,APP-0123,STG-0070,IV-001,2026-08-02,Yes,
FB-00301,APP-0123,STG-0071,IV-008,2026-08-05,Yes,
FB-00302,APP-0123,STG-0072,IV-001,2026-08-06,Yes,
FB-00303,APP-0123,STG-0073,IV-001,2026-08-06,No,Insufficient experience designing large SPA systems
FB-00304,APP-0124,STG-0069,IV-008,2026-08-06,No,Insufficient years of experience
FB-00305,APP-0125,STG-0069,IV-009,2026-08-07,No,Too junior for role level
FB-00306,APP-0126,STG-0009,IV-002,2026-08-08,Yes,
FB-00307,APP-0126,STG-0010,IV-001,2026-08-09,Yes,
FB-00308,APP-0126,STG-0011,IV-001,2026-08-13,Yes,
FB-00309,APP-0126,STG-0012,IV-005,2026-08-16,No,Not good team fit
FB-00310,APP-0127,STG-0009,IV-009,2026-08-12,Yes,
FB-00311,APP-0127,STG-0010,IV-009,2026-08-12,Yes,
FB-00312,APP-0127,STG-0011,IV-007,2026-08-16,Yes,
FB-00313,APP-0127,STG-0012,IV-008,2026-08-17,No,Salary expectations misaligned
FB-00314,APP-0128,STG-0009,IV-008,2026-07-28,Yes,
FB-00315,APP-0128,STG-0010,IV-006,2026-07-29,Yes,
FB-00316,APP-0128,STG-0011,IV-001,2026-08-02,Yes,
FB-00317,APP-0128,STG-0012,IV-003,2026-08-06,Yes,
FB-00318,APP-0128,STG-0013,IV-001,2026-08-10,Yes,
FB-00319,APP-0128,STG-0014,IV-001,2026-08-11,Yes,
FB-00320,APP-0128,STG-0015,IV-001,2026-08-21,Yes,
FB-00321,APP-0129,STG-0009,IV-001,2026-08-08,Yes,
FB-00322,APP-0129,STG-0010,IV-001,2026-08-08,Yes,
FB-00323,APP-0129,STG-0011,IV-004,2026-08-09,Yes,
FB-00324,APP-0129,STG-0012,IV-001,2026-08-09,No,Location mismatch
FB-00325,APP-0130,STG-0009,IV-007,2026-08-10,Yes,
FB-00326,APP-0130,STG-0010,IV-001,2026-08-12,No,Insufficient years of experience
FB-00327,APP-0131,STG-0009,IV-001,2026-07-29,No,Not good team fit
FB-00328,APP-0132,STG-0009,IV-003,2026-08-16,Yes,
FB-00329,APP-0132,STG-0010,IV-001,2026-08-16,Yes,
FB-00330,APP-0132,STG-0011,IV-001,2026-08-18,Yes,
FB-00331,APP-0132,STG-0012,IV-001,2026-08-21,Yes,
FB-00332,APP-0132,STG-0013,IV-001,2026-08-25,Yes,
FB-00333,APP-0132,STG-0014,IV-005,2026-08-26,No,Failed coding bar
FB-00334,APP-0133,STG-0009,IV-007,2026-07-30,Yes,
FB-00335,APP-0133,STG-0010,IV-001,2026-07-30,No,Insufficient years of experience
FB-00336,APP-0134,STG-0009,IV-009,2026-08-02,Yes,
FB-00337,APP-0134,STG-0010,IV-009,2026-08-04,No,Location mismatch
FB-00338,APP-0135,STG-0009,IV-008,2026-08-16,Yes,
FB-00339,APP-0135,STG-0010,IV-001,2026-08-17,Yes,
FB-00340,APP-0135,STG-0011,IV-001,2026-08-17,No,Missing required skill
FB-00341,APP-0136,STG-0009,IV-001,2026-08-07,No,Location mismatch
FB-00342,APP-0137,STG-0009,IV-001,2026-07-29,Yes,
FB-00343,APP-0137,STG-0010,IV-009,2026-08-01,Yes,
FB-00344,APP-0137,STG-0011,IV-004,2026-08-02,Yes,
FB-00345,APP-0137,STG-0012,IV-001,2026-08-02,Yes,
FB-00346,APP-0137,STG-0013,IV-001,2026-08-06,Yes,
FB-00347,APP-0137,STG-0014,IV-001,2026-08-07,Yes,
FB-00348,APP-0137,STG-0015,IV-006,2026-08-13,Yes,
FB-00349,APP-0138,STG-0009,IV-001,2026-07-28,Yes,
FB-00350,APP-0138,STG-0010,IV-001,2026-07-29,Yes,
FB-00351,APP-0138,STG-0011,IV-009,2026-08-03,No,Commute concerns
FB-00352,APP-0139,STG-0009,IV-003,2026-08-07,No,Missing required skill
FB-00353,APP-0140,STG-0009,IV-009,2026-08-18,Yes,
FB-00354,APP-0140,STG-0010,IV-001,2026-08-20,No,Insufficient years of experience
FB-00355,APP-0141,STG-0009,IV-006,2026-08-11,Yes,
FB-00356,APP-0141,STG-0010,IV-007,2026-08-14,Yes,
FB-00357,APP-0141,STG-0011,IV-002,2026-08-19,No,Could not demonstrate claimed backend expertise
FB-00358,APP-0142,STG-0009,IV-001,2026-08-03,Yes,
FB-00359,APP-0142,STG-0010,IV-001,2026-08-05,Yes,
FB-00360,APP-0142,STG-0011,IV-007,2026-08-08,No,Salary expectations misaligned
FB-00361,APP-0143,STG-0096,IV-016,2026-07-26,Yes,
FB-00362,APP-0143,STG-0097,IV-001,2026-07-27,No,Missing required skill
FB-00363,APP-0144,STG-0096,IV-001,2026-08-09,Yes,
FB-00364,APP-0144,STG-0097,IV-001,2026-08-12,Yes,
FB-00365,APP-0144,STG-0098,IV-008,2026-08-13,No,Commute concerns
FB-00366,APP-0145,STG-0096,IV-008,2026-08-11,Yes,
FB-00367,APP-0145,STG-0097,IV-017,2026-08-14,Yes,
FB-00368,APP-0145,STG-0098,IV-001,2026-08-16,Yes,
FB-00369,APP-0145,STG-0099,IV-001,2026-08-20,Yes,
FB-00370,APP-0145,STG-0100,IV-001,2026-08-23,No,Insufficient years of experience
FB-00371,APP-0146,STG-0096,IV-001,2026-07-28,Yes,
FB-00372,APP-0146,STG-0097,IV-016,2026-07-29,Yes,
FB-00373,APP-0146,STG-0098,IV-018,2026-07-29,No,Location mismatch
FB-00374,APP-0147,STG-0096,IV-001,2026-08-17,Yes,
